user_id,num_levels_completed,unique_levels_completed,returns,total_time_played,active_time,abtest_value
5Te2H9RRt9uEhXWlA84oDPLKHUXOhtMmn0p4ahWE,0,0,0,0,0,2
5vL0NpmjQc4SBymlV4ROfkjU0ln3FTUKoGLc57wV,0,0,0,30,30,1
5ZEupbAkhUwp0ETthLMKaH5QIGMbkGSqGwU6HuqZ,5,5,0,90,90,1
64l1nmYhvBeU2tVSVrO3rDKj8EtAtfWzjhBHDAY9,6,6,0,150,150,2
64tHeI4wTVOON5wr5V6fyk5taELXUtk1yOJMwNiq,7,7,0,270,270,1
66H7veZOef3ObQKOGLj1mS1DpO8x3oEavlh0zgPO,6,6,0,150,150,2
68psLiOxL3hnNFxaZsmSz1Ogn7muGX6M5wfRO3oz,3,3,0,90,90,1
69MPh6nqMsgqXnxo8xF6dLBccVGu3NaaXWZf3mFQ,11,11,0,390,390,1
6dZ4XYE9P3L20yptg8xOd5435iIoSqlZEl3BjIK8,0,0,0,0,0,1
6EDEKSF2JegfTP7DHkT1qCVAoT8j2k49ZIOKAtMj,3,3,0,60,60,1
6iHEoGgpzhkmPKqKb4vgMMVQ46KvypLFIsj79zxJ,1,1,0,60,60,2
6lb3FZQNa8nVEYavcMruPp3zRPUAE4RLq2O52FTd,5,5,0,449910,390,2
6mh1OXHaSyDrA8CbSxyh6ncjT0rEXPF3bX40UMaN,6,6,0,120,120,1
6Q5YoStqZAqdFyFGVysf2AUMQrBaOLvUCBT1tmrs,3,3,0,300,270,1
6QRXEcVTxdOb4WlMZ0YC3H2QWNpmHGAOwrLbEH4c,2,2,0,90,90,2
6YCxrdsFG1icn9mZsKoDEZKQC0O2vxRCvu9WIBCo,13,13,1,570,570,1
72MKcgYCG3wm0ZoK9YoZtsotsOHLtEzAHmkUCjxi,7,7,0,120,120,1
7A0tDPpTEHa6qGtI0HYYkrGbWX0FJcEQMFkpvJj9,7,7,0,210,210,1
7AqWlj9wLb0LYgB3HXaFqYaUD3Yc2bU9Lk66DgDo,7,7,0,210,210,2
7cUK2yxZxiAVBF08vN8zjIyWtXLhrDTzQNkTmRSU,2,2,0,120,120,2
7dFU8AxaYVlQPXY5BMmaCbl6gVbvDjGKwlFFWdPV,15,13,5,1530,1500,2
7hTgRXDdzDAO69E3BeuL955n1MGJHKXO2R5TOI6n,0,0,1,0,0,1
7nHnrbH8lY63eAux1KV0QijCBQ0fIXSQkzdMLUU6,1,1,0,60,60,1
7Th02HDlznAbGLz8hkwXIUl91Q6voJhvCywEg90P,6,6,0,510,510,2
7updCo6zMniBv7uf9M4sBoOoGikxrUAypZM1nTAa,0,0,0,30,30,1
7Z6BQMGYi1p3wi9tfKsAECB2Kn1dTzJ0zQCqCjoV,4,4,0,180,180,1
8GyJiXmo5yMKigyH3rpyYE2FZsWyg0hoGQ7YNumS,11,11,1,600,540,2
8pgUWUhxTUsY0vjJeDKXsFKjmQx4uhUDGaxC5P9Y,0,0,0,510,90,2
8RtKRl8DHadOjIUuJFVOKqHgyQpyOWuWNYGFjPj1,0,0,0,30,30,1
8S3yvtxgJ5MThe8LAx5W8ikqjBESW1E5TIDpcbFV,5,5,0,120,120,2
8taVp4uwPuQ7U9fDqt9iYbC5ENIoX356wf2Wkwt9,0,0,0,30,30,2
8vNPZPA7bXCqxfexyZo6qeXXOFg0z2uIyhxx68Fi,1,1,0,120,90,2
8xzVF0A4yHOVYHNi543skSR5BtiLPUJXriS7jtbS,9,9,0,660,570,1
9BNXw8LzcThY2lMcHkDxC9RpLRWv4ZudAib7rWGD,12,12,0,660,660,2
9hZXj7RzxR1WaD93wSM8AJvxUp0qsjjCBjzUqruY,9,9,0,540,540,2
9Jpvfw5QR2iCGLCTQEQeLfrpbtZcjPEty4YOA3Fr,6,6,0,240,240,1
9ns06l288l2ErYKxkl8iGvh4r86tz8mIwOIDaLLj,12,12,0,840,840,1
9qOirxllpHh1xQKOzlwHlwzj9ZetS9s2zgl0OGme,6,6,0,120,120,2
9Rl3o9g9P8bJfQFd4SjbNk2mBcdxYiz8aUcz4tIT,2,2,0,660,210,2
9VLMHRxmJD0u10yWgjyIYi36OGUSQa806TMNKkat,12,12,0,840,750,2
9WLreu6CsXz2AL8q4ngGXTHom0uFyvKHsw9G1giu,3,3,0,90,90,2
9xixs4Dzlyyz8w1REBk3IkeV7dqZOykY6DwzH983,5,5,0,210,210,2
9xuePIvKFM0J1NdiygSjXkau7CijgZfpxJDms978,2,2,0,60,60,2
A2AqeFLjU6oy5ZblTD36DLsAFXJHlUFVWflbV7uP,0,0,0,0,0,2
a5aUuW6rBnovco31SlybkpDJBwHoW0T6631AZ82B,8,8,0,210,210,2
a7jv94DdPQdCCyaUMYq04EGSKcv8Ssl2AFyJJcXy,9,9,1,1380,1290,2
a9vFiND4LqX5MXiWkqfLQbSn2zKTs7CDh8jzWWEH,7,7,4,450,420,2
AaN9A4OAJxnYf1uM5TVty6Qbqtofydr8oehZj6A3,7,7,0,150,150,1
AemgaE3CU02I0vBMGiLEEAzswS6aaG4KVq0554H0,12,12,0,630,630,2
AEMo8M7nJnEEfO4aME4Gvvx1ahp8uCa4gWtoJALs,0,0,0,60,60,1
ajplePbvsWBtfRQB59idgD4c2BvBEh6PBvaQlmlN,6,6,0,120,120,2
aKktH80O9LD7TCgqbDW6NPLoXqnUo9nyTI1AR2p0,7,7,0,420,420,2
AnaQBEMT73QxjHLCbQSwD1v7usgrh5YSt8I4MvXU,6,6,0,270,270,2
AnbrxqfF9RIAQdwHz5hh0ADJSYMFJwsjTDKq3Z6d,8,8,0,450,450,1
AQqvA4mNdZgJYzaA4Q32UFeJj3DBPfpq5PVFUit8,12,12,0,690,690,1
aTWClZ9yhAeQ6HkHzmYx4TAkRzwGGZkQShtdhCMy,0,0,0,0,0,1
B0tIzJeuHrARdjSA8M4GIMjbNXPXHWfiXI0wsf09,12,12,0,1200,1080,1
B4NC8NYMpm8jPAPWi4RRLyI9rs8WmqyYvlAD9zqz,7,7,0,480,480,1
B52owmfpsM12GxsZJ5Am7vCRQrbtjSjUYljuIyUb,0,0,0,0,0,2
BAcA2PkbJXzHBZWo7fNg8ehgcj00gH4Rigsl6NwQ,7,7,0,270,270,1
BdXVpnjYBwYwuhu4f9VwcfXfPOzRj7GUkEPJ18ID,0,0,0,30,30,1
bECSCL3nmoUU7Gzmj7ToB7aYd7tEIP9TtLM6xPtT,1,1,0,150,150,1
BEZmyVLcLxaFIZq42jULot5oGHlOlXRWBQiaM3mx,12,12,0,810,750,1
BgtWhonaWuwnXuRhSz6bdMTqOrfhkEcWUFTb4hm0,4,4,0,90,90,1
bkBPfQmOtbbJYyJdLu9wnx6BGPNBOORZ9sOojbdN,5,5,0,120,120,2
BKjTkK20gNBsJo3rfwVM21oZB5nE3uEEeYxzIAzZ,9,9,0,540,540,2
blPW65AMnqZ06ubIlx1ySJnsYjtAIxYUTNQZTrMg,6,6,0,180,180,2
BlUIBAgIqrbGiLFTKsZXunBAqqv8cyoOUixvTNdk,6,6,0,240,240,2
bQgr5nK4rG8ubDpKBJV7W5s8slM7aeTl59MawwfY,3,3,0,210,210,1
bRmbxbBQ7IX0OnP2ZaVGa477tRPKiPHtG3Feeh4m,5,5,0,90,90,2
bzCkfeKKsbebmD9ACLUn5YS8bhTf1ppcY2weghZI,9,9,0,420,360,2
bZetc1WVM0TPvqLglUJokuyuInHd7eMje0Nr1JnO,0,0,0,0,0,2
c0k7QqCldyvFv10oG3pjB3c7yq6oC4XO5iWVJygW,1,1,0,60,60,1
c2SJy3pCrhGkGvrIDXwShQl9zJ0rJ5pV7iFGl4iM,1,1,0,30,30,1
C4KZB2R4o1IgzjX1VD8iTfMwkjsmPYDs2nrDqiIP,3,3,0,90,90,2
c61MT6KL9xdC6n73PiamK8P6k4atEsIQzJDtQoeZ,1,1,0,60,60,2
cdfQyHrtPv4QT0DoaDNHY8LqLi4pjqZvDfmcWOFM,5,5,0,960,390,2
